;  Table crwfpc2comp$wfpc2_f814w_004.tab  Thu 08:19:11 15-May-97
; WAVELENGTH   THROUGHPUT        error
;  ANGSTROMS TRANSMISSION TRANSMISSION
      7302.0      0.93111           0.
      7304.0      0.93102           0.
      7306.0      0.93082           0.
      7308.0      0.93063           0.
      7310.0      0.92996           0.
      7312.0      0.92957           0.
      7314.0        0.929           0.
      7316.0      0.92833           0.
      7318.0      0.92804           0.
      7320.0      0.92746           0.
      7322.0      0.92698           0.
      7324.0      0.92621           0.
      7326.0      0.92544           0.
      7328.0      0.92467           0.
      7330.0      0.92429           0.
      7332.0      0.92362           0.
      7334.0      0.92294           0.
      7336.0      0.92208           0.
      7338.0      0.92102           0.
      7340.0      0.91987           0.
      7342.0        0.919           0.
      7344.0      0.91824           0.
      7346.0      0.91756           0.
      7348.0      0.91699           0.
      7350.0      0.91612           0.
      7352.0      0.91535           0.
      7354.0      0.91449           0.
      7356.0      0.91343           0.
      7358.0      0.91257           0.
      7360.0       0.9117           0.
      7362.0      0.91064           0.
      7364.0      0.90978           0.
      7366.0      0.90882           0.
      7368.0      0.90767           0.
      7370.0      0.90671           0.
      7372.0      0.90603           0.
      7374.0      0.90526           0.
      7376.0       0.9043           0.
      7378.0      0.90382           0.
      7380.0      0.90277           0.
      7382.0      0.90209           0.
      7384.0      0.90132           0.
      7386.0      0.90065           0.
      7388.0      0.89979           0.
      7390.0      0.89911           0.
      7392.0      0.89825           0.
      7394.0      0.89748           0.
      7396.0      0.89671           0.
      7398.0      0.89614           0.
      7400.0      0.89527           0.
      7402.0      0.89479           0.
      7404.0      0.89421           0.
      7406.0      0.89373           0.
      7408.0      0.89335           0.
      7410.0      0.89258           0.
      7412.0       0.8921           0.
      7414.0      0.89152           0.
      7416.0      0.89095           0.
      7418.0      0.89027           0.
      7420.0      0.88989           0.
      7422.0       0.8897           0.
      7424.0       0.8895           0.
      7426.0      0.88902           0.
      7428.0      0.88883           0.
      7430.0      0.88835           0.
      7432.0      0.88816           0.
      7434.0      0.88787           0.
      7436.0      0.88778           0.
      7438.0      0.88768           0.
      7440.0      0.88758           0.
      7442.0      0.88749           0.
      7444.0      0.88739           0.
      7446.0       0.8871           0.
      7448.0       0.8871           0.
      7450.0       0.8872           0.
      7452.0      0.88701           0.
      7454.0      0.88729           0.
      7456.0      0.88739           0.
      7458.0      0.88729           0.
      7460.0      0.88739           0.
      7462.0      0.88739           0.
      7464.0      0.88749           0.
      7466.0      0.88768           0.
      7468.0      0.88797           0.
      7470.0      0.88816           0.
      7472.0      0.88835           0.
      7474.0      0.88874           0.
      7476.0      0.88902           0.
      7478.0      0.88922           0.
      7480.0       0.8895           0.
      7482.0      0.89008           0.
      7484.0      0.89047           0.
      7486.0      0.89066           0.
      7488.0      0.89133           0.
      7490.0      0.89181           0.
      7492.0       0.8922           0.
      7494.0      0.89258           0.
      7496.0      0.89287           0.
      7498.0      0.89306           0.
      7500.0      0.89364           0.
      7502.0      0.89392           0.
      7504.0       0.8945           0.
      7506.0      0.89527           0.
      7508.0      0.89556           0.
      7510.0      0.89623           0.
      7512.0       0.8969           0.
      7514.0      0.89758           0.
      7516.0      0.89806           0.
      7518.0      0.89873           0.
      7520.0      0.89911           0.
      7522.0      0.89979           0.
      7524.0      0.90065           0.
      7526.0      0.90132           0.
      7528.0       0.9019           0.
      7530.0      0.90267           0.
      7532.0      0.90325           0.
      7534.0      0.90382           0.
      7536.0      0.90421           0.
      7538.0      0.90469           0.
      7540.0      0.90488           0.
      7542.0      0.90555           0.
      7544.0      0.90613           0.
      7546.0      0.90671           0.
      7548.0      0.90747           0.
      7550.0      0.90834           0.
      7552.0      0.90882           0.
      7554.0      0.90949           0.
      7556.0      0.91055           0.
      7558.0      0.91103           0.
      7560.0      0.91151           0.
      7562.0      0.91237           0.
      7564.0      0.91285           0.
      7566.0      0.91343           0.
      7568.0      0.91401           0.
      7570.0      0.91487           0.
      7572.0      0.91593           0.
      7574.0       0.9166           0.
      7576.0      0.91718           0.
      7578.0      0.91718           0.
      7580.0      0.91776           0.
      7582.0      0.91824           0.
      7584.0      0.91872           0.
      7586.0       0.9191           0.
      7588.0      0.91968           0.
      7590.0      0.92035           0.
      7592.0      0.92102           0.
      7594.0       0.9215           0.
      7596.0      0.92189           0.
      7598.0      0.92227           0.
      7600.0      0.92294           0.
      7602.0      0.92342           0.
      7604.0      0.92391           0.
      7606.0      0.92429           0.
      7608.0      0.92477           0.
      7610.0      0.92544           0.
      7612.0      0.92573           0.
      7614.0       0.9264           0.
      7616.0      0.92688           0.
      7618.0      0.92727           0.
      7620.0      0.92804           0.
      7622.0      0.92833           0.
      7624.0      0.92881           0.
      7626.0      0.92929           0.
      7628.0      0.92977           0.
      7630.0      0.92996           0.
      7632.0      0.93044           0.
      7634.0      0.93054           0.
      7636.0      0.93082           0.
      7638.0       0.9315           0.
