;  Table pcf850lpsys.tab  Mon 12:21:20 02-Jun-97
;      WAVELENGTH      THROUGHPUT
;       angstroms                
         8938.789      0.03652495
         8940.271       0.0364976
         8941.743       0.0364636
         8943.227      0.03642927
         8944.709      0.03639489
         8946.192      0.03636044
         8947.676      0.03632592
         8949.154      0.03629147
         8950.633      0.03625816
         8952.117      0.03622629
         8953.602      0.03619436
         8955.086      0.03616236
         8956.565       0.0361304
         8958.051      0.03609825
         8959.531      0.03606613
         8961.017      0.03603755
         8962.503       0.0360106
         8963.988      0.03598358
          8965.47      0.03595655
         8966.951      0.03592945
         8968.438      0.03590215
         8969.926      0.03587478
         8971.413      0.03583018
           8972.9      0.03578465
         8974.378      0.03573938
         8975.866      0.03569375
         8977.354      0.03564807
         8978.843      0.03560238
         8980.331      0.03556132
         8981.811      0.03553673
         8983.305      0.03551178
         8984.794      0.03548685
         8986.279      0.03546187
          8987.77      0.03543673
         8989.254       0.0354116
         8990.745      0.03537986
         8992.235      0.03534167
         8993.727      0.03530338
         8995.213      0.03526518
         8996.699      0.03522692
         8998.196      0.03518832
         8999.688      0.03514982
         9001.175       0.0351064
         9002.663      0.03506161
         9004.155      0.03501667
         9005.648      0.03497168
         9007.142      0.03492667
         9008.635      0.03488163
         9010.119      0.03483842
         9011.612      0.03481321
         9013.106       0.0347879
         9014.602      0.03476252
         9016.096      0.03473707
         9017.586      0.03471161
         9019.076      0.03468608
         9020.571      0.03465848
         9022.067      0.03462774
         9023.563      0.03459693
         9025.055      0.03456616
         9026.546      0.03453533
         9028.047      0.03450423
         9029.539      0.03447325
         9031.036      0.03443722
         9032.528      0.03439908
         9034.021      0.03436088
         9035.524      0.03432238
         9037.018      0.03428409
         9038.516      0.03424563
          9040.01      0.03420725
         9041.504      0.03417367
         9043.013       0.0341397
         9044.507      0.03410602
         9046.002      0.03407223
         9047.502       0.0340383
         9048.997      0.03400441
         9050.502      0.03396954
         9051.998      0.03393343
         9053.493      0.03389728
         9054.995      0.03386092
         9056.491      0.03382464
         9057.998      0.03378804
           9059.5      0.03375152
         9060.991      0.03370826
         9062.494      0.03366109
         9063.997       0.0336139
           9065.5      0.03356668
         9066.998      0.03351959
         9068.496      0.03347247
            9070.      0.03342515
         9071.504      0.03339063
         9073.008      0.03335605
         9074.512      0.03332141
         9076.007      0.03328692
         9077.512      0.03325215
         9079.017       0.0332173
         9080.521      0.03318034
         9082.027      0.03313942
         9083.528      0.03309859
         9085.034      0.03305759
         9086.536      0.03301664
         9088.048      0.03297538
         9089.549      0.03293438
         9091.052      0.03289336
         9092.559       0.0328522
         9094.062      0.03281112
         9095.574      0.03276972
         9097.077      0.03272855
         9098.586      0.03268716
