# Vega spectrum from Kurucz models, resolution 500
# microns	erg/s/cm2/micron
0.191103	8.59288e+11
0.191295	8.93595e+11
0.191486	8.98495e+11
0.191678	8.95982e+11
0.191871	9.03396e+11
0.192063	9.17471e+11
0.192255	9.17094e+11
0.192448	9.02391e+11
0.192641	8.64064e+11
0.192834	8.53885e+11
0.193028	8.31014e+11
0.193221	8.52251e+11
0.193415	8.89950e+11
0.193609	8.75876e+11
0.193803	8.76756e+11
0.193997	9.01134e+11
0.194191	9.26393e+11
0.194386	9.39964e+11
0.194581	9.26142e+11
0.194776	8.93218e+11
0.194971	8.72609e+11
0.195167	8.81280e+11
0.195362	8.91961e+11
0.195558	9.06287e+11
0.195754	9.21869e+11
0.195951	9.36446e+11
0.196147	9.44865e+11
0.196344	9.35441e+11
0.196541	9.20110e+11
0.196738	9.05156e+11
0.196935	8.96485e+11
0.197132	9.18476e+11
0.197330	9.28655e+11
0.197528	9.05910e+11
0.197726	8.90076e+11
0.197924	8.67582e+11
0.198122	8.80274e+11
0.198321	8.82913e+11
0.198520	8.80274e+11
0.198719	8.88945e+11
0.198918	8.69593e+11
0.199117	8.44837e+11
0.199317	8.50618e+11
0.199517	8.65823e+11
0.199717	8.77258e+11
0.199917	8.51120e+11
0.200118	8.53257e+11
0.200318	8.59288e+11
0.200519	8.33276e+11
0.200720	8.14678e+11
0.200921	8.15934e+11
0.201123	8.06635e+11
0.201324	8.04122e+11
0.201526	8.18573e+11
0.201728	8.23349e+11
0.201930	8.24103e+11
0.202133	8.01106e+11
0.202335	7.91933e+11
0.202538	8.03368e+11
0.202741	8.21464e+11
0.202945	8.41444e+11
0.203148	8.36669e+11
0.203352	8.06258e+11
0.203555	8.06258e+11
0.203760	8.10405e+11
0.203964	8.10908e+11
0.204168	8.26490e+11
0.204373	8.63184e+11
0.204578	8.84924e+11
0.204783	8.88191e+11
0.204988	8.83165e+11
0.205194	8.73488e+11
0.205399	8.39182e+11
0.205605	8.09526e+11
0.205811	8.18448e+11
0.206018	8.27119e+11
0.206224	8.07641e+11
0.206431	7.97588e+11
0.206638	7.90173e+11
0.206845	7.96205e+11
0.207053	8.25862e+11
0.207260	8.32648e+11
0.207468	8.38177e+11
0.207676	8.55770e+11
0.207884	8.57278e+11
0.208092	8.52000e+11
0.208301	8.52251e+11
0.208510	8.44586e+11
0.208719	8.50492e+11
0.208928	8.50241e+11
0.209138	8.37800e+11
0.209347	8.18825e+11
0.209557	8.03871e+11
0.209767	7.97336e+11
0.209978	8.02865e+11
0.210188	8.08897e+11
0.210399	8.22469e+11
0.210610	8.26742e+11
0.210821	7.83639e+11
0.211032	7.58129e+11
0.211244	7.63658e+11
0.211456	7.90173e+11
0.211667	8.27998e+11
0.211880	8.33904e+11
0.212092	8.31894e+11
0.212305	8.16814e+11
0.212518	7.98342e+11
0.212731	7.87157e+11
0.212944	7.67177e+11
0.213157	7.29101e+11
0.213371	6.82354e+11
0.213585	6.78835e+11
0.213799	7.21687e+11
0.214013	7.34127e+11
0.214228	7.62150e+11
0.214443	7.93441e+11
0.214658	7.90802e+11
0.214873	7.78361e+11
0.215088	7.69062e+11
0.215304	7.83262e+11
0.215520	8.01734e+11
0.215736	7.88791e+11
0.215952	7.54736e+11
0.216169	7.47322e+11
0.216385	7.55742e+11
0.216602	7.43301e+11
0.216819	7.24200e+11
0.217037	7.23572e+11
0.217254	7.26462e+11
0.217472	7.04722e+11
0.217690	7.03591e+11
0.217908	7.31237e+11
0.218127	7.60894e+11
